,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
6137,Pharaonic Guardian,PGD-033,Super Rare,Book of Life,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6138,Savage Strike,SAST-EN005,Common,Salamangreat Foxer,Monster,FIRE,1200,1000,3.0,None,nan,Cyberse , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
6139,The New Challengers,NECH-EN056,Common,Mimiclay,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
6140,Dimension of Chaos,DOCS-EN059,Common,Majespecter Storm,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6141,Cyberdark Impact,CDIP-EN012,Common,Stray Asmodian,Monster,FIRE,1300,1700,3.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6142,Ancient Sanctuary,AST-000,Secret Rare,The End of Anubis,Monster,DARK,2500,0,6.0,None,nan,Fiend , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
6143,Lightning Overdrive,LIOV-EN091,Common,War Rock Generations,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
6144,Dark Neostorm,DANE-EN090,Common,Pegasus Wing,Spell,nan,,None,,None,Normal,nan,None,None,None,Lingering,,,,,,,,,, Unlimited 
6145,Maximum Gold,MAGO-EN113,Rare,Barrier Statue of the Inferno,Monster,FIRE,1000,1000,4.0,None,nan,Pyro , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
6146,Lord of the Tachyon Galaxy,LTGY-EN000,Super Rare,Mecha Phantom Beast Turtletracer,Monster,WIND,500,2000,3.0,None,nan,Machine , Effect,None,None,Continuous, Continuous, Continuous,,,,,,,, Unlimited 
6147,Ancient Prophecy,ANPR-EN020,Rare,Koa'ki Meiru Speeder,Monster,WIND,1200,2200,3.0,None,nan,Machine , Effect,None,None,Maintenance cost, Trigger,,,,,,,,, Unlimited 
6148,Absolute Powerforce,ABPF-EN084,Secret Rare,Cactus Bouncer,Monster,EARTH,1800,300,4.0,None,nan,Plant , Effect,None,None,Summoning condition, Continuous,,,,,,,,, Unlimited 
6149,Savage Strike,SAST-EN003,Common,Salamangreat Wolvie,Monster,FIRE,1700,1000,4.0,None,nan,Cyberse , Effect,None,None,Unclassified, Condition, Trigger, Trigger,,,,,,, Unlimited 
6150,Rising Rampage,RIRA-EN020,Common,"Simorgh, Bird of Protection",Monster,WIND,1400,1000,4.0,None,nan,Winged Beast , Effect,None,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
6151,Ancient Sanctuary,AST-093,Common,Enchanting Fitting Room,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6152,Phantom Rage,PHRA-EN011,Super Rare,Virtual World Roshi - Laolao,Monster,WIND,0,2400,6.0,None,nan,Psychic , Tuner , Effect,None,Ignition, Condition,,,,,,,,, Unlimited 
6153,Rise of Destiny,RDS-EN037,Rare,Serial Spell,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Cost, Effect,,,,,,,, Unlimited 
6154,Generation Force,GENF-EN026,Common,Laval Magma Cannoneer,Monster,FIRE,1700,200,4.0,None,nan,Pyro , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
6155,Spell Ruler,MRL-065,Common,Eatgaboon,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6156,Generation Force,GENF-EN014,Rare,Wind-Up Magician,Monster,FIRE,600,1800,4.0,None,nan,Spellcaster , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6157,Ghosts From the Past: The 2nd Haunting,GFP2-EN086,Ultra Rare,Tenyi Spirit - Nahata,Monster,WIND,800,1000,4.0,None,nan,Wyrm , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
6158,Shining Victories,SHVI-EN043,Short Print,Dicelops,Monster,FIRE,1800,200,4.0,None,nan,Machine , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
6159,Flaming Eternity,FET-EN016,Common,Kangaroo Champ,Monster,EARTH,800,700,4.0,None,nan,Beast , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6160,Crossroads of Chaos,CSOC-EN080,Common,Giant Trap Hole,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6161,Battle of Chaos,BACH-EN069,Common,Dinomorphia Alert,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
6162,Dimension Force,DIFO-EN003,Common,"Therion ""Bull"" Ain",Monster,FIRE,2100,1600,7.0,None,nan,Warrior , Effect,None,None,Condition, Ignition, Ignition, Continuous-like,,,,,,, Unlimited 
6163,Metal Raiders,MRD-095,Common,Launcher Spider,Monster,FIRE,2200,2500,7.0,None,nan,Machine , Normal,None,None,nan,,,,,,,,,, Unlimited 
6164,Legacy of the Valiant,LVAL-EN080,Short Print,Duston Roller,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Trigger-like,,,,,,,,, Unlimited 
6165,Savage Strike,SAST-EN083,Common,Time Thief Bezel Ship,Monster,DARK,1000,2000,4.0,None,nan,Machine , Effect,None,None,Quick, Ignition, Condition,,,,,,,, Unlimited 
6166,Maximum Crisis ,MACR-EN003,Common,Performapal Revue Dancer,Monster,LIGHT,800,1000,3.0,None,nan,Spellcaster , Effect,None,None,Unclassified, Unclassified,,,,,,,,, Unlimited 
6167,Lightning Overdrive,LIOV-EN036,Super Rare,Garden Rose Flora,Monster,LIGHT,800,1600,5.0,None,nan,Plant , Synchro , Tuner , Effect,Ignition, Condition, Quick,,,,,,,, Unlimited 
6168,Starstrike Blast,STBL-EN068,Common,Blackwing - Boobytrap,Trap,nan,,None,,None,Normal,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
6169,Extreme Force,EXFO-EN096,Rare,Ritual Beast Ulti-Kimunfalcos,Monster,WIND,1800,None,,2,nan,Psychic , Link , Effect,None,Continuous, Ignition, Condition, Quick,,,,,,, Unlimited 
6170,Crimson Crisis,CRMS-EN079,Rare,Wall of Thorns,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6171,The Dark Illusion,TDIL-EN014,Common,Red Warg,Monster,FIRE,1400,2200,6.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6172,Legacy of Darkness,LOD-044,Common,A Wingbeat of Giant Dragon,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6173,Dawn of Majesty,DAMA-EN026,Common,Master's Diploman,Monster,DARK,2000,2000,5.0,None,nan,Machine , Effect,None,None,Trigger, Continuous,,,,,,,,, Unlimited 
6174,Maximum Gold,MAGO-EN080,Rare,Mistaken Arrest,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6175,Absolute Powerforce,ABPF-EN003,Common,Tricular,Monster,EARTH,300,300,3.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6176,Extreme Force,EXFO-EN001,Short Print,Zombino,Monster,EARTH,2000,0,4.0,None,nan,Zombie , Normal,None,None,nan,,,,,,,,,, Unlimited 
6177,Secrets of Eternity,SECE-EN052,Ultra Rare,Sky Cavalry Centaurea,Monster,LIGHT,2000,0,2.0,None,nan,Beast-Warrior , Xyz , Effect,None,Continuous, Trigger,,,,,,,,, Unlimited 
6178,Breakers of Shadow,BOSH-EN023,Super Rare,"Master Pendulum, the Dracoslayer",Monster,LIGHT,1950,0,4.0,None,nan,Dragon , Pendulum,None,None,Pendulum Effect , Ignition-like,,,,,,,,, Unlimited 
6179,The Shining Darkness,TSHD-EN001,Common,Blackwing - Ghibli the Searing Wind,Monster,DARK,0,1600,3.0,None,nan,Winged Beast , Effect,None,None,Trigger, Ignition,,,,,,,,, Unlimited 
6180,The New Challengers,NECH-EN019,Common,Fluffal Cat,Monster,EARTH,700,300,1.0,None,nan,Fairy , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
6181,Ancient Sanctuary,AST-065,Common,Protector of the Sanctuary,Monster,EARTH,1100,1900,4.0,None,nan,Fiend , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
6182,Cybernetic Horizon,CYHO-EN051,Rare,Cynet Ritual,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect, Ignition-like, Condition,,,,,,,, Unlimited 
6183,Rising Rampage,RIRA-EN015,Rare,Tenyi Spirit - Nahata,Monster,WIND,800,1000,4.0,None,nan,Wyrm , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
6184,Power of the Duelist,POTD-EN046,Rare,Neo Space,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
6185,Maximum Gold,MAGO-EN137,Rare,Mekk-Knight of the Morning Star,Monster,LIGHT,2000,None,,2,nan,Machine , Link , Effect,None,Trigger, Condition, Continuous,,,,,,,, Unlimited 
6186,Strike of Neos,STON-EN036,Ultra Rare,Elemental HERO Glow Neos,Monster,LIGHT,2500,2000,7.0,None,nan,Warrior , Fusion , Effect,None,Summoning condition, Trigger, Ignition,,,,,,,, Unlimited 
6187,Spell Ruler,MRL-097,Short Print,Umiiruka,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
6188,Generation Force,GENF-EN019,Common,Flyfang,Monster,WIND,1600,300,3.0,None,nan,Fish , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
6189,Storm of Ragnarok,STOR-EN078,Common,Tyrant's Tirade,Trap,nan,,None,,None,Continuous,nan,None,None,None,Cost, Continuous-like,,,,,,,,, Unlimited 
6190,Generation Force,GENF-EN058,Super Rare,Quill Pen of Gulldos,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6191,Extreme Force,EXFO-EN026,Ultra Rare,Mythical Beast Jackal King,Monster,DARK,2400,1400,6.0,None,nan,Spellcaster , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Condition, Monster Effect, Continuous, Quick,,,,, Unlimited 
6192,Shadow of Infinity,SOI-EN044,Common,Trial of the Princesses,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Continuous-like, Ignition-like,,,,,,,, Unlimited 
6193,Lightning Overdrive,LIOV-EN032,Ultra Rare,White Knight of Dogmatika,Monster,LIGHT,500,2500,8.0,None,nan,Spellcaster , Ritual , Effect,None,Summoning condition, Continuous, Trigger, Condition,,,,,,, Unlimited 
6194,Photon Shockwave,PHSW-EN053,Common,Evo-Karma,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
6195,Generation Force,GENF-EN085,Secret Rare,Orient Dragon,Monster,WIND,2300,1000,6.0,None,nan,Dragon , Synchro , Effect,None,Trigger,,,,,,,,,, Unlimited 
6196,Force of the Breaker,FOTB-EN050,Common,Terrible Deal,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6197,Dark Neostorm,DANE-EN008,Common,Dinowrestler Martial Anga,Monster,EARTH,1600,0,5.0,None,nan,Dinosaur , Effect,None,None,Quick, Trigger,,,,,,,,, Unlimited 
6198,Judgment of the Light,JOTL-EN020,Rare,Bujingi Crane,Monster,LIGHT,1600,300,4.0,None,nan,Winged Beast , Effect,None,None,Quick,,,,,,,,,, Unlimited 
6199,Legacy of the Valiant,LVAL-EN039,Super Rare,"Chirubimé, Princess of Autumn Leaves",Monster,EARTH,1800,2800,8.0,None,nan,Plant , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
6200,Ghosts From the Past: The 2nd Haunting,GFP2-EN017,Ultra Rare,Infernity Sage,Monster,DARK,400,800,2.0,None,nan,Fiend , Tuner , Effect,None,Ignition, Trigger, Condition, Condition,,,,,,, Unlimited 
6201,Pharaonic Guardian,PGD-076,Rare,Spirit Reaper,Monster,DARK,300,200,3.0,None,nan,Zombie , Effect,None,None,Continuous, Continuous, Trigger,,,,,,,, Unlimited 
6202,Circuit Break,CIBR-EN084,Super Rare,Vendread Nights,Spell,nan,,None,,None,Field,nan,None,None,None,Ignition-like, Condition, Trigger-like,,,,,,,, Unlimited 
6203,Pharaoh's Servant,PSV-075,Common,Shadow of Eyes,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6204,The New Challengers,NECH-EN085,Secret Rare,"Virgil, Rock Star of the Burning Abyss",Monster,LIGHT,2500,1000,6.0,None,nan,Spellcaster , Synchro , Effect,None,Unclassified, Ignition, Trigger, Condition,,,,,,, Unlimited 
6205,Ancient Sanctuary,AST-026,Common,Piranha Army,Monster,WATER,800,200,2.0,None,nan,Fish , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
6206,Maximum Crisis ,MACR-EN096,Common,Ghost Beef,Monster,DARK,2000,1000,7.0,None,nan,Beast , Pendulum , Normal,None,Pendulum Effect , Ignition-like,,,,,,,,, Unlimited 
6207,Legendary Duelists: Synchro Storm,LED8-EN008,Rare,Speedroid Dupligate,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
6208,Savage Strike,SAST-EN069,Common,Child's Play,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
6209,Labyrinth of Nightmare,LON-071,Rare,Gilasaurus,Monster,EARTH,1400,400,3.0,None,nan,Dinosaur , Effect,None,None,Unclassified, Trigger,,,,,,,,, Unlimited 
6210,Maximum Gold,MAGO-EN089,Rare,Imperial Tombs of Necrovalley,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
6211,Crossroads of Chaos,CSOC-EN011,Rare,Morphtronic Radion,Monster,LIGHT,1000,900,4.0,None,nan,Thunder , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
6212,Pharaonic Guardian,PGD-011,Common,Mucus Yolk,Monster,DARK,0,100,3.0,None,nan,Aqua , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
6213,The Lost Millennium,TLM-EN042,Common,Kaminote Blow,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Lingering,,,,,,,,, Unlimited 
6214,Crossroads of Chaos,CSOC-EN036,Rare,Tiger Dragon,Monster,EARTH,2400,1800,6.0,None,nan,Dragon , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6215,Soul Fusion,SOFU-EN096,Common,D/D/D Super Doom King Purple Armageddon,Monster,DARK,3500,3000,10.0,None,nan,Fiend , Fusion , Pendulum , Effect,Pendulum Effect , Trigger-like, Monster Effect, Ignition, Condition, Trigger, Trigger,,,, Unlimited 
6216,Photon Shockwave,PHSW-EN004,Common,Stinging Swordsman,Monster,WIND,300,600,1.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6217,Cybernetic Horizon,CYHO-EN012,Rare,Impcantation Candoll,Monster,LIGHT,0,0,4.0,None,nan,Pyro , Effect,None,None,Ignition, Trigger, Condition, Continuous,,,,,,, Unlimited 
6218,The Shining Darkness,TSHD-EN053,Common,Dragon Laser,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6219,Galactic Overlord,GAOV-EN067,Common,Gamushara,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Trigger-like,,,,,,,, Unlimited 
6220,Absolute Powerforce,ABPF-EN045,Super Rare,Cards of Consonance,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6221,Primal Origin,PRIO-EN066,Common,Scrap Factory,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Trigger-like, Condition,,,,,,,, Unlimited 
6222,Maximum Crisis ,MACR-EN022,Ultra Rare,"Dinomight Knight, the True Dracofighter",Monster,WATER,2500,1200,6.0,None,nan,Wyrm , Effect,None,None,Summoning condition, Quick,,,,,,,,, Semi-Limited 
6223,Galactic Overlord,GAOV-EN006,Secret Rare,Cardcar D,Monster,EARTH,800,400,2.0,None,nan,Machine , Effect,None,None,Summoning condition, Ignition, Condition,,,,,,,, Unlimited 
6224,Pharaonic Guardian,PGD-008,Common,Maiden of the Aqua,Monster,WATER,700,2000,4.0,None,nan,Aqua , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
6225,Duelist Alliance,DUEA-EN074,Ultra Rare,Yang Zing Creation,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like, Continuous-like,,,,,,,,, Unlimited 
6226,Gladiator's Assault,GLAS-EN036,Secret Rare,Elemental HERO Chaos Neos,Monster,DARK,3000,2500,9.0,None,nan,Warrior , Fusion , Effect,None,Summoning condition, Trigger, Ignition,,,,,,,, Unlimited 
6227,Dark Neostorm,DANE-EN096,Common,Speedlift,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6228,Raging Tempest,RATE-EN024,Common,Shinobird Pigeon,Monster,WIND,1000,1800,4.0,None,nan,Winged Beast , Spirit , Effect,None,Summoning condition, Ignition, Trigger,,,,,,,, Unlimited 
6229,Force of the Breaker,FOTB-EN007,Ultra Rare,Crystal Beast Sapphire Pegasus,Monster,WIND,1800,1200,4.0,None,nan,Beast , Effect,None,None,Trigger, Unclassified,,,,,,,,, Unlimited 
6230,Starstrike Blast,STBL-EN082,Rare,Droll & Lock Bird,Monster,WIND,0,0,1.0,None,nan,Spellcaster , Effect,None,None,Quick,,,,,,,,,, Unlimited 
6231,Rise of the Duelist,ROTD-EN074,Common,Frightfur Jar,Trap,nan,,None,,None,Continuous,nan,None,None,None,Unclassified, Quick-like, Trigger-like,,,,,,,, Unlimited 
6232,Labyrinth of Nightmare,LON-009,Common,Shining Abyss,Monster,LIGHT,1600,1800,4.0,None,nan,Fairy , Normal,None,None,nan,,,,,,,,,, Unlimited 
6233,Phantom Rage,PHRA-EN099,Super Rare,Virtual World Hime - Nyannyan,Monster,WIND,1500,1500,3.0,None,nan,Psychic , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
6234,Shining Victories,SHVI-EN096,Ultra Rare,Stardust Sifr Divine Dragon,Monster,LIGHT,4000,4000,12.0,None,nan,Dragon , Synchro , Effect,None,Summoning condition, Continuous, Quick, Ignition,,,,,,, Unlimited 
6235,Galactic Overlord,GAOV-EN002,Common,Hieratic Seal of the Sun Dragon Overlord,Monster,LIGHT,0,0,8.0,None,nan,Dragon,None,None,None,nan,,,,,,,,,, Unlimited 
6236,Ghosts From the Past: The 2nd Haunting,GFP2-EN172,Ultra Rare,Vampire Domination,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
6237,The Dark Illusion,TDIL-EN041,Short Print,Wrecker Panda,Monster,EARTH,800,800,2.0,None,nan,Beast , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
6238,Shadow Specters,SHSP-EN033,Common,Yellow-Bellied Oni,Monster,DARK,1000,1000,4.0,None,nan,Zombie , Effect,None,None,Trigger, Ignition,,,,,,,,, Unlimited 
6239,Absolute Powerforce,ABPF-EN071,Common,Lair Wire,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6240,Crossroads of Chaos,CSOC-EN075,Common,Bamboo Scrap,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6241,Pharaoh's Servant,PSV-014,Common,Earthshaker,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6242,Crossroads of Chaos,CSOC-EN019,Common,Iron Chain Blaster,Monster,EARTH,1100,0,2.0,None,nan,Warrior , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
6243,Dark Crisis,DCR-035,Rare,Wicked-Breaking Flamberge - Baou,Spell,nan,,None,,None,Equip,nan,None,None,None,Cost, Continuous-like, Continuous-like,,,,,,,, Unlimited 
6244,Light of Destruction,LODT-EN055,Common,Quick Charger,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6245,Crimson Crisis,CRMS-EN001,Super Rare,Turret Warrior,Monster,EARTH,1200,2000,5.0,None,nan,Warrior , Effect,None,None,Unclassified,,,,,,,,,, Unlimited 
6246,Eternity Code,ETCO-EN005,Common,Gouki Guts,Monster,EARTH,800,0,1.0,None,nan,Warrior , Effect,None,None,Continuous, Condition, Ignition, Trigger,,,,,,, Unlimited 
6247,Stardust Overdrive,SOVR-EN039,Ultra Rare,Divine Grace - Northwemko,Monster,LIGHT,2700,1200,7.0,None,nan,Spellcaster , Ritual , Effect,None,Summoning condition, Trigger, Continuous,,,,,,,, Unlimited 
6248,Starstrike Blast,STBL-EN002,Common,Mirror Ladybug,Monster,LIGHT,100,100,1.0,None,nan,Insect , Effect,None,None,Unclassified, Trigger, Continuous,,,,,,,, Unlimited 
6249,Tactical Evolution,TAEV-EN020,Super Rare,Aquarian Alessa,Monster,WATER,1500,500,4.0,None,nan,Aqua , Gemini,None,None,Unclassified, Condition, Trigger,,,,,,,, Unlimited 
6250,Photon Shockwave,PHSW-EN081,Super Rare,Photon Sabre Tiger,Monster,LIGHT,2000,300,3.0,None,nan,Beast , Effect,None,None,Trigger, Continuous,,,,,,,,, Unlimited 
6251,Invasion of Chaos,IOC-022,Common,Silpheed,Monster,WIND,1700,700,4.0,None,nan,Fairy , Effect,None,None,Summoning condition, Trigger,,,,,,,,, Unlimited 
6252,Galactic Overlord,GAOV-EN066,Common,Nitwit Outwit,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6253,Absolute Powerforce,ABPF-EN083,Super Rare,Super-Nimble Mega Hamster,Monster,EARTH,1100,1800,4.0,None,nan,Beast , Flip , Effect,None,Flip,,,,,,,,,, Unlimited 
6254,Battle of Chaos,BACH-EN003,Ultra Rare,Timaeus the United Dragon,Monster,LIGHT,2800,1800,8.0,None,nan,Dragon , Effect,None,None,Ignition, Ignition, Condition,,,,,,,, Unlimited 
6255,Crossroads of Chaos,CSOC-EN097,Secret Rare,Neos Wiseman,Monster,LIGHT,3000,3000,10.0,None,nan,Spellcaster , Effect,None,None,Summoning condition, Summoning condition, Continuous, Trigger,,,,,,, Unlimited 
6256,Phantom Rage,PHRA-EN048,Secret Rare,Tri-Brigade Shuraig the Ominous Omen,Monster,DARK,3000,None,,4,nan,Winged Beast , Link , Effect,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
6257,Extreme Force,EXFO-EN033,Rare,Desmanian Devil,Monster,EARTH,1700,1400,4.0,None,nan,Beast , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6258,Shining Victories,SHVI-EN020,Ultra Rare,Sage with Eyes of Blue,Monster,LIGHT,0,1500,1.0,None,nan,Spellcaster , Tuner , Effect,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
6259,Duelist Alliance,DUEA-EN010,Rare,Performapal Turn Toad,Monster,WATER,0,800,2.0,None,nan,Aqua , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Monster Effect, Trigger,,,,,,, Unlimited 
6260,Phantom Darkness,PTDN-EN075,Common,All-Out Attacks,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
6261,Galactic Overlord,GAOV-EN004,Super Rare,Tasuke Knight,Monster,LIGHT,1700,100,4.0,None,nan,Warrior , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
6262,Chaos Impact,CHIM-EN000,Rare,Monster Express,Monster,EARTH,1500,1200,4.0,None,nan,Machine , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
6263,Pharaoh's Servant,PSV-013,Common,Solomon's Lawbook,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6264,Return of the Duelist,REDU-EN081,Ultra Rare,Prophecy Destroyer,Monster,DARK,2500,1200,6.0,None,nan,Spellcaster , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
6265,Maximum Crisis ,MACR-EN053,Secret Rare,Dragonic Diagram,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like, Ignition-like,,,,,,,, Limited 
6266,Clash of Rebellions,CORE-EN090,Common,Performapal Silver Claw,Monster,DARK,1800,700,4.0,None,nan,Beast , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Monster Effect, Trigger,,,,,,, Unlimited 
6267,Dark Neostorm,DANE-EN015,Rare,"Filo, Messenger Fur Hire",Monster,WIND,0,0,1.0,None,nan,Winged Beast , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
6268,Code of the Duelist,COTD-EN082,Rare,Revendread Slayer,Monster,DARK,2400,0,6.0,None,nan,Zombie , Ritual , Effect,None,Summoning condition, Quick, Trigger, Condition,,,,,,, Unlimited 
6269,Starstrike Blast,STBL-EN088,Rare,"Karakuri Barrel mdl 96 ""Shinkuro""",Monster,EARTH,400,400,2.0,None,nan,Machine , Tuner,None,None,Continuous, Trigger, Continuous,,,,,,,, Unlimited 
6270,Abyss Rising,ABYR-EN078,Short Print,Cash Back,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6271,Primal Origin,PRIO-EN090,Common,Bolt Penguin,Monster,WATER,1100,800,3.0,None,nan,Thunder,None,None,None,nan,,,,,,,,,, Unlimited 
6272,Light of Destruction,LODT-EN082,Secret Rare,"Ehren, Lightsworn Monk",Monster,LIGHT,1600,1000,4.0,None,nan,Warrior , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
6273,Legendary Duelists: Synchro Storm,LED8-EN004,Ultra Rare,Hi-Speedroid Cork Shooter,Monster,WIND,500,1000,3.0,None,nan,Machine , Synchro , Tuner , Effect,Trigger, Condition, Condition,,,,,,,, Unlimited 
6274,Phantom Rage,PHRA-EN082,Common,Jabbing Panda,Monster,WATER,1500,1000,3.0,None,nan,Beast-Warrior , Effect,None,None,Unclassified, Condition, Trigger, Condition,,,,,,, Unlimited 
6275,Lord of the Tachyon Galaxy,LTGY-EN015,Common,"Parsec, the Interstellar Dragon",Monster,LIGHT,800,800,8.0,None,nan,Dragon , Effect,None,None,Unclassified,,,,,,,,,, Unlimited 
6276,Code of the Duelist,COTD-EN062,Ultra Rare,Spellbook of Knowledge,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
6277,The Dark Illusion,TDIL-EN099,Super Rare,Paleozoic Anomalocaris,Monster,WATER,2400,0,2.0,None,nan,Aqua , Xyz , Effect,None,Continuous, Trigger, Quick,,,,,,,, Unlimited 
6278,Ghosts From the Past: The 2nd Haunting,GFP2-EN167,Ultra Rare,"Despia, Theater of the Branded",Spell,nan,,None,,None,Field,nan,None,None,None,Ignition-like, Trigger-like, Condition,,,,,,,, Unlimited 
6279,Absolute Powerforce,ABPF-EN091,Rare,Berfomet,Monster,DARK,1400,1800,5.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6280,Ignition Assault,IGAS-EN058,Common,Karakuri Gama Oil,Spell,nan,,None,,None,Equip,nan,None,None,None,Activation requirement, Effect, Trigger-like, Condition,,,,,,, Unlimited 
